В сегодняшних...;I dagens...
В цифровом мире;I den digitale verden
Давайте рассмотрим подробнее ...;La oss se nærmere på ...
В параграфе;I avsnittet
Такое число называется битом.;Ett slikt tall kalles en bit.
набор символов;et tegnsett -- tegnsett
буква;en bokstav -- bokstaver
соответствующий;tilsvarende
МР3-плеер вмещает 2000 песен.;En MP3-spiller vil ha plass til 2000 låter.
скорость;en hastighet -- hastigheter
Для описания ... часто используются такие понятия, как ...;For å beskrive ... brukes gjerne begreper som ...
количество;et antall -- antall
передавать;å overføre -- overførte -- overført
...скажем так...;...la oss si ...
таким образом;altså
носитель информации;et lagringsmedium -- lagringsmedier
несколько ниже;noe lavere
В связи с ...;I forbindelse med ...
эффективное сжатие;effektiv komprimering
объем данных;en datamengde -- datamengder
Сжав файл, мы получим файл размером от 4 до 6 МБ.;Ved å komprimere fil vil vi få en fil som er 4 til 6 MB stor.
сохранить такой объем информации;å lagre den mengden informasjon
разрешение;en oppløsning -- oppløsninger
соединение, связь;en forbindelse -- forbindelser
Разрешение описывает, из скольких точек состоит изображение.;Oppløsningen beskriver hvor mange punkter et bilde er bygd opp av.
состоит из...;bygd opp av....
В детстве телевидения;I televisjonens barndom
изображение масштабируется;bildet skaleres om
Это обычно делается автоматически в используемом нами программном обеспечении.;Dette gjøres som regel automatisk i programvaren vi bruker.
Каждый байт содержит информацию о своем основном цвете: красном, зеленом и синем.;Hver byte har informasjon om hver sin grunnfarge rød, grønn og blå.
в ширину;i bredden
В сегодняшних;I dagens
мы встречаем слово "цифровой" в постоянно новых контекстах;vi ordet digital i stadig nye sammenhenger.
Мы можем упомянуть;Vi kan nevne
коммуникация;en kommunikasjon -- kommunikasjoner
ряд мест;en rekke steder
в повседневной жизни;i hverdagen
в первую очередь;i første omgang
связывать;å forbinde -- forbant -- forbundet
большинство;fleste
большинство электронных устройств;de fleste elektroniske apparater
происхождение;en opprinnelse -- opprinnelser
Происхождение слова "цифровой" comes from Latin, and the word means "палец";Opprinnelsen til ordet digital kommer fra latin, og ordet betyr finger
В более свободном переводе;I en friere oversettelse
работать;å arbeide -- arbeidet -- arbeidet
Такая система;Et slikt system
число;et tall -- tall
значение;en verdi -- verdier
между двумя целыми числами;mellom to hele tall
противоположность;en motsetning -- motsetninger
непрерывно переменные значения;kontinuerlig variable verdier
Примеры продуктов, которые существуют как в «механической», так и в цифровой версии;Eksempler på produkter som finnes både i «mekanisk» og digital utgave
Спидометр со стрелкой;Speedometer med viser
виниловая пластинка;ei vinylplate -- vinylplater
Умные лампочки;Smarte lyspærer
подключать;å koble -- koblet -- koblet
лампочки, которые можно подключить к беспроводной сети и управлять дистанционно;lyspærer som kan kobles til et trådløst nett og fjernstyres.
Примеры того, как числа представляются в цифровом виде;Eksempler på hvordan tall blir representert digitalt
двоичные;binære
десятичная система;titallsystemet
